                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     91,                 0.6053,                0.30653,                0.90794,                0.94735,                0.87298,                0.94799,                0.59707,                 1.4789,                0.65221,                 1.6458,             7.2703e-05,             7.2703e-05,             7.2703e-05
                     92,                0.59212,                0.29583,                0.88986,                0.92944,                0.87074,                0.94345,                0.57794,                 1.4964,                0.65086,                 1.6721,               6.61e-05,               6.61e-05,               6.61e-05
                     93,                0.56841,                0.29269,                0.88376,                0.94788,                0.85282,                0.95655,                0.58234,                 1.5032,                0.65453,                 1.6811,             5.9496e-05,             5.9496e-05,             5.9496e-05
                     94,                0.55112,                0.28323,                 0.8787,                 0.9424,                0.83714,                0.95032,                0.58599,                 1.4928,                0.65616,                 1.6824,             5.2893e-05,             5.2893e-05,             5.2893e-05
                     95,                0.53986,                0.28187,                0.87533,                0.95162,                0.81982,                0.94813,                0.58481,                 1.4783,                0.66574,                 1.6819,              4.629e-05,              4.629e-05,              4.629e-05
                     96,                0.54101,                0.27959,                0.88182,                0.93669,                0.86584,                0.94898,                0.58636,                 1.4546,                 0.6609,                 1.6708,             3.9687e-05,             3.9687e-05,             3.9687e-05
                     97,                0.57722,                0.28816,                0.89429,                0.93246,                0.86266,                0.94488,                0.58679,                 1.4453,                0.65793,                  1.668,             3.3083e-05,             3.3083e-05,             3.3083e-05
                     98,                0.53355,                0.27846,                0.86966,                0.93619,                0.86496,                0.94244,                0.58661,                 1.4486,                0.66395,                 1.6805,              2.648e-05,              2.648e-05,              2.648e-05
                     99,                0.53892,                0.27754,                0.88044,                0.93574,                0.86725,                0.94685,                0.58673,                 1.4522,                0.66074,                 1.6867,             1.9877e-05,             1.9877e-05,             1.9877e-05
                    100,                0.54224,                 0.2811,                0.88845,                0.94885,                0.85136,                0.94594,                0.58475,                 1.4598,                 0.6688,                 1.6915,             1.3273e-05,             1.3273e-05,             1.3273e-05
